char,keycode,unicode
a,A,U+0061
b,B,U+0062
c,C,U+0063
d,D,U+0064
e,E,U+0065
f,F,U+0066
g,G,U+0067
h,H,U+0068
i,I,U+0069
j,J,U+006A
k,K,U+006B
l,L,U+006C
m,M,U+006D
n,N,U+006E
o,O,U+006F
p,P,U+0070
q,Q,U+0071
r,R,U+0072
s,S,U+0073
t,T,U+0074
u,U+0075
v,V,U+0076
w,W,U+0077
x,X,U+0078
y,Y,U+0079
z,Z,U+007A
0,N0,U+0030
1,N1,U+0031
2,N2,U+0032
3,N3,U+0033
4,N4,U+0034
5,N5,U+0035
6,N6,U+0036
7,N7,U+0037
8,N8,U+0038
9,N9,U+0039
!,EXCL,U+0021
@,AT,U+0040
#,HASH,U+0023
$,DOLLAR,U+0024
%,PERCENT,U+0025
^,CARET,U+005E
&,AMPS,U+0026
*,STAR,U+002A
(,LPAR,U+0028
),RPAR,U+0029
=,EQUAL,U+003D
+,PLUS,U+002B
-,MINUS,U+002D
_,UNDER,U+005F
/,SLASH,U+002F
?,QUESTION,U+003F
\,BACKSLASH,U+005C
|,PIPE,U+007C
;,SEMI,U+003B
:,COLON,U+003A
',SQT,U+0027
",DQT,U+0022
",COMMA,U+002C
.,DOT,U+002E
<,LT,U+003C
>,GT,U+003E
[,LBKT,U+005B
],RBKT,U+005D
{,LBRC,U+007B
},RBRC,U+007D
`,GRAVE,U+0060
~,TILDE,U+007E
" ",SPACE,U+0020
